Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,4,0,2,Export,699,India,IND,408,Dem. People's Rep. of Korea,PRK,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,673520,,673520,,1852486,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,410,Rep. of Korea,KOR,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,1443872,,1443872,,2786240,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,414,Kuwait,KWT,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,72931,,72931,,296780,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,440,Lithuania,LTU,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,4386000,,4386000,,8035420,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,458,Malaysia,MYS,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,1244000,,1244000,,2367493,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,462,Maldives,MDV,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,9625,,9625,,118647,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,466,Mali,MLI,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,40,,40,,839,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,480,Mauritius,MUS,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,26260,,26260,,95689,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,490,"Other Asia, nes",,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,12333220,,12333220,,26956215,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,508,Mozambique,MOZ,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,83550,,83550,,68354,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,512,Oman,OMN,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,48594,,48594,,139018,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,524,Nepal,NPL,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,482173,,482173,,426852,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,528,Netherlands,NLD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,1479,,1479,,18728,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,528,Netherlands,NLD,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,2770,,2770,,8590,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,554,New Zealand,NZL,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,2620,,2620,,7383,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,604,Peru,PER,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,1350,,1350,,28181,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,616,Poland,POL,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,13577,,13577,,151885,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,620,Portugal,PRT,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,94134,,94134,,365831,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,634,Qatar,QAT,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,77,,77,,325,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,643,Russian Federation,RUS,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,3700000,,3700000,,6343519,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,682,Saudi Arabia,SAU,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,4444,,4444,,28581,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,25177,,25177,,335692,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,702,Singapore,SGP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,2507150,,2507150,,6312024,,,0
H4,2013,2013,2013,4,0,1,Import,699,India,IND,704,Viet Nam,VNM,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,6593760,,6593760,,11441418,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,704,Viet Nam,VNM,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,978600,,978600,,1481636,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,716,Zimbabwe,ZWE,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,28000,,28000,,22278,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,724,Spain,ESP,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,945706,,945706,,2006162,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,748,Swaziland,SWZ,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,260,,260,,1817,,,0
H4,2013,2013,2013,4,0,2,Export,699,India,IND,757,Switzerland,CHE,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",8,Weight in kilograms,,,12151,,12151,,61250,,,0
