Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,512,Oman,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,11380,,14544,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,524,Nepal,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,109140,,82261,,,0
HS,2014,201405,May 2014,4,0,2,Exports,699,India,,842,United States of America,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,49554,,471014,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,251,France,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,10696,,42319,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,276,Germany,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,1734,,9547,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,381,Italy,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,23280,,66479,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,392,Japan,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,250025,,438234,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,400,Jordan,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,2016,,11895,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,410,Rep. of Korea,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,90560,,190333,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,422,Lebanon,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,3000,,11133,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,440,Lithuania,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,136800,,226534,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,462,Maldives,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,1165,,9012,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,490,"Other Asia, nes",,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,97360,,233757,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,512,Oman,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,6020,,5770,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,524,Nepal,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,102155,,85936,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,842,United States of America,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,83230,,683995,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,0,World,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,1038706,,2541903,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,48,Bahrain,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,18,,76,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,643,Russian Federation,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,78000,,179216,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,704,Viet Nam,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,106300,,162114,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,764,Thailand,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,4500,,13872,,,0
HS,2014,201407,July 2014,4,0,2,Exports,699,India,,826,United Kingdom,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,41847,,171681,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,784,United Arab Emirates,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,14025,,96662,,,0
HS,2014,201404,April 2014,4,0,2,Exports,699,India,,826,United Kingdom,,,,,,,,,0304,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0,,,,,,28103,,103395,,,0
