Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201404,Exports,India,Russian Federation,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,166205
2014,201404,Exports,India,Singapore,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,248007
2014,201404,Exports,India,Spain,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,37720
2014,201404,Exports,India,Thailand,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,46272
2014,201404,Exports,India,Belarus,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,91208
2014,201404,Exports,India,Canada,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,11390
2014,201404,Exports,India,China,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,526498
2014,201404,Exports,India,France,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,112057
2014,201404,Exports,India,Germany,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,3562
2014,201404,Exports,India,"China, Hong Kong SAR","Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,58951
2014,201404,Exports,India,Italy,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,68415
2014,201404,Exports,India,Japan,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,9053789
2014,201404,Exports,India,Jordan,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,8540
2014,201404,Exports,India,Rep. of Korea,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,36614
2014,201404,Exports,India,Lithuania,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,1072238
2014,201404,Exports,India,Malaysia,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,222801
2014,201404,Exports,India,Maldives,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,6605
2014,201404,Exports,India,"Other Asia, nes","Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,2092033
2014,201404,Exports,India,Oman,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,17966
2014,201404,Exports,India,Nepal,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,54744
2014,201401,Imports,India,Japan,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,2865
2014,201401,Imports,India,Denmark,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,143412
2014,201401,Imports,India,"Other Asia, nes","Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,75853
2014,201401,Imports,India,United Kingdom,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,39792
2014,201401,Imports,India,Viet Nam,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,1973700
2014,201401,Imports,India,United Arab Emirates,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",0304,25114
