Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,091020,Spices; saffron,8,Weight in kilograms,,,136,,136,,211868,,,0
H4,2013,2013,2013,6,1,2,Export,699,India,IND,784,United Arab Emirates,ARE,,,,,,,,091020,Spices; saffron,8,Weight in kilograms,,,30309,,30309,,44224,,,0
H4,2013,2013,2013,6,1,2,Export,699,India,IND,826,United Kingdom,GBR,,,,,,,,091020,Spices; saffron,8,Weight in kilograms,,,19,,19,,11936,,,0
H4,2013,2013,2013,6,1,2,Export,699,India,IND,842,USA,USA,,,,,,,,091020,Spices; saffron,8,Weight in kilograms,,,1145,,1145,,152992,,,0
H4,2014,2014,2014,6,1,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,091020,Spices; saffron,8,Weight in kilograms,,,227,,227,,201596,,,0
H4,2014,2014,2014,6,1,2,Export,699,India,IND,784,United Arab Emirates,ARE,,,,,,,,091020,Spices; saffron,8,Weight in kilograms,,,4239,,4239,,16105,,,0
H4,2014,2014,2014,6,1,2,Export,699,India,IND,826,United Kingdom,GBR,,,,,,,,091020,Spices; saffron,8,Weight in kilograms,,,13,,13,,32715,,,0
H4,2014,2014,2014,6,1,2,Export,699,India,IND,842,USA,USA,,,,,,,,091020,Spices; saffron,8,Weight in kilograms,,,132,,132,,192234,,,0
